scenorio,truck,gross,net,fromid,toid
1,11t,0.759416432,0.510603493,33,81
1,11t,0.681091866,0.49046626,92,80
1,11t,0.803404776,0.594312439,92,80
1,11t,0.795400715,0.556512612,92,80
1,11t,0.885160252,0.69556139,92,85
1,11t,0.611273243,0.371469734,96,81
1,CNTR,0.735675566,0.596421565,34,85
1,11t,0.303478233,0.196713973,80,49
1,11t,0.596349957,0.4579701,80,44
1,CNTR,0.628095567,0.50139482,34,85
1,11t,0.534158093,0.358558577,80,66
1,11t,0.719165488,0.428302907,96,81
1,CNTR,0.686354163,0.528890136,34,85
1,11t,0.135663748,0.096233749,80,75
1,11t,0.613513056,0.359238614,34,80
1,11t,0.790489128,0.516729868,33,80
1,11t,0.68943333,0.428286558,33,85
1,11t,0.88417717,0.558950406,96,85
1,11t,0.894554445,0.534301704,96,81
1,11t,0.693169153,0.404840264,80,85
1,11t,0.785860713,0.58697801,33,81
1,CNTR,0.678576083,0.518756283,34,85
1,11t,0.672871164,0.346566368,81,32
1,11t,0.707111124,0.516232357,80,48
1,11t,0.730839501,0.530208502,80,88
1,11t,0.755232084,0.555724102,80,58
1,11t,0.786505855,0.572240257,80,54
1,11t,0.757553853,0.539239589,80,70
1,11t,0.759765945,0.546036574,80,69
1,11t,0.250634985,0.185973369,80,40
1,11t,0.745805571,0.523011206,80,55
1,11t,0.189506022,0.147654222,80,61
1,11t,0.680246996,0.497259411,80,78
1,CNTR,0.624396009,0.421025131,33,80
1,CNTR,0.586114301,0.505183482,34,85
1,11t,0.436070278,0.250343833,81,47
1,11t,0.498150832,0.35659748,81,49
1,11t,0.546295937,0.305830763,81,66
1,11t,0.528912483,0.302203648,81,75
1,11t,0.72689569,0.543805402,92,85
1,11t,0.80326725,0.500446522,33,85
1,CNTR,0.485325278,0.38677339,34,85
1,CNTR,0.597251559,0.32673155,34,80
1,11t,0.653444993,0.347635096,34,80
1,11t,0.777706463,0.57767318,92,80
1,11t,0.790359042,0.596528462,92,80
1,11t,0.678479934,0.434962277,80,85
1,11t,0.688925063,0.601794953,96,81
1,11t,0.454085666,0.285075087,33,85
1,11t,0.786927748,0.55151727,33,81
1,CNTR,0.483892986,0.359499692,34,85
1,CNTR,0.60681166,0.456126328,34,85
1,CNTR,0.487592852,0.332721995,34,85
1,5t,0.37024456,0.197024462,32,72
1,11t,0.29985515,0.154014704,32,51
1,11t,0.238393899,0.125448427,32,57
1,11t,0.273751221,0.141679008,32,74
1,5t,0.648998866,0.404485756,32,73
1,11t,0.635856418,0.330242079,32,64
1,11t,0.262149689,0.135822456,32,52
1,5t,0.423396748,0.219468085,32,67
1,11t,0.427234537,0.220302699,32,43
1,5t,0.615938161,0.324924514,32,77
1,11t,0.308381979,0.160165779,32,42
1,5t,0.438987239,0.230935865,32,68
1,5t,0.50627051,0.289424483,32,59
1,11t,0.384954905,0.196166761,32,53
1,11t,0.200974838,0.104282821,32,63
1,5t,0.225665709,0.122290165,32,83
1,11t,0.210668842,0.106213536,32,86
1,5t,0.459485019,0.2345936,32,65
1,CNTR,0.448421451,0.312161528,34,85
1,11t,0.652426753,0.394330611,81,50
1,11t,0.425398949,0.223059775,81,44
1,11t,0.82588782,0.572934976,85,52
1,11t,0.705449287,0.492629932,85,72
1,11t,0.771645565,0.541710467,85,74
1,11t,0.740835907,0.544315931,85,64
1,11t,0.812430726,0.579554195,85,63
