truck,fromid,toid,fee,gross,net,scenorio
11t,81,85,312000,0.15913363,0.079717539,Actual
11t,33,80,139000,0.764800212,0.529319756,Actual
11t,33,85,271000,0.840840865,0.533926489,Actual
CNTR,34,85,0,0.703865114,0.590545274,Actual
11t,32,81,NA,0.789115317,0.467533548,Actual
5t,101,80,95000,1.40952939,1.077167152,Actual
11t,101,80,119000,0.800516917,0.561562143,Actual
11t,101,80,119000,0.835310683,0.669646484,Actual
11t,101,85,262200,0.351018037,0.315390974,Actual
11t,33,81,151000,0.690517346,0.443747651,Actual
CNTR,34,85,0,0.660169139,0.526067901,Actual
11t,80,44,138000,0.53210634,0.395494097,Actual
CNTR,80,85,312000,0.613407593,0.426651078,Actual
11t,32,85,312000,0.874309104,0.525935831,Actual
CNTR,34,80,325000,0.516528796,0.287527928,Actual
CNTR,34,85,0,0.618957397,0.425845483,Actual
11t,32,81,NA,0.867574993,0.532195571,Actual
CNTR,34,85,0,0.627083585,0.450303969,Actual
11t,33,80,139000,0.750636285,0.469866929,Actual
11t,33,85,271000,0.700456854,0.440340992,Actual
11t,80,49,154000,0.475209345,0.35234986,Actual
11t,80,75,150000,0.610197401,0.443888841,Actual
11t,80,66,155000,0.208716471,0.140227518,Actual
11t,81,85,312000,0.218914616,0.110629406,Actual
11t,32,81,NA,0.362005731,0.306306029,Actual
CNTR,34,85,0,0.705933167,0.511615819,Actual
11t,33,81,151000,0.905017035,0.63612548,Actual
11t,80,47,138000,0.269598176,0.193403438,Actual
11t,80,69,150000,0.749174308,0.539876327,Actual
11t,80,40,138000,0.588098127,0.428747378,Actual
11t,80,50,150000,0.591478065,0.414436179,Actual
11t,80,58,150000,0.7663361,0.552996721,Actual
11t,80,48,155000,0.861811318,0.633205998,Actual
11t,80,88,140000,0.736676664,0.547295719,Actual
11t,80,54,150000,0.775402909,0.553405692,Actual
11t,80,70,155000,0.405811927,0.276179473,Actual
11t,80,55,127000,0.368911516,0.255741512,Actual
11t,80,61,150000,0.803660496,0.601051574,Actual
11t,80,78,134000,0.50515188,0.361545919,Actual
CNTR,34,85,0,0.588312892,0.487941813,Actual
11t,32,81,NA,0.78747333,0.479676502,Actual
CNTR,34,85,0,0.503947384,0.382084988,Actual
CNTR,34,80,325000,0.560908991,0.313717886,Actual
CNTR,34,80,325000,0.644778273,0.356029807,Actual
11t,101,80,119000,0.753512227,0.519058735,Actual
